"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"309","Telemark","nome_cappelen1","1CAB","B",5,0.130404375,0.0103772504410296
"310","Telemark","drangedal1","1DRB","B",5,1.109174375,0.0882652922660568
"311","Telemark","fritsoe1","1FRB","B",5,1.519605,0.12092632364858
"312","Telemark","furesdal","1FYB","B",5,0.681000625,0.0541923078587101
"313","Trøndelag","namdalseid_1kub","1KB","B",5,0.948164375,0.0754525235724438
"314","Telemark","kviteseid1","1KVB","B",5,0.277475,0.0220807589172118
"315","Telemark","notodden1","1NOB","B",5,0.115915,0.00922422261424852
"316","Trøndelag","nsb_verdal","1NSB","B",5,1.902309375,0.151380970160652
"317","Trøndelag","sub_namdalseid","1SB","B",5,0.29123875,0.0231760433412024
"318","Trøndelag","verdal_1vb","1VBB","B",5,0.0579575,0.00461211130712426
"319","Trøndelag","steinkjer_2bbb","2BBB","B",5,5.612805,0.446652830180453
"320","Telemark","nome_cappelen2","2CAB","B",5,0.328425833333333,0.0261352974070375
"321","Telemark","fritsoe2","2FRB","B",5,1.475938125,0.117451424145767
"322","Telemark","kviteseid2","2KVB","B",5,1.4265125,0.113518257878689
"323","Trøndelag","verdal_2vb","2VBB","B",5,3.157851875,0.25129386772913
"324","Telemark","kviteseid3","3KVB","B",5,1.5324675,0.12194988887634
"325","Telemark","notodden3","3NOB","B",5,0.166990625,0.0132886917093775
"326","Telemark","drangedal4","4DRB","B",5,0.407879375,0.0324580093582414
"327","Telemark","notodden4","4NOB","B",5,0.1890875,0.0150471051509444
"328","Telemark","notodden5","5NOB","B",5,4.71412625,0.37513824752338
"329","Telemark","notodden6","6NOB","B",5,0.138011875,0.0109826360558154
"330","Trøndelag","bratsberg","BRB","B",5,2.7563275,0.219341573202563
"331","Hedmark","nes 1","DDB","B",5,4.581766875,0.364605423125478
"332","Hedmark","didrik_holmsen","DHB","B",5,2.00573625,0.159611419363051
"333","Hedmark","fet_3","FKB","B",5,4.38199375,0.348707982955146
"334","Trøndelag","selbu_flub","FLB","B",5,5.720936875,0.455257691386475
"335","Trøndelag","hi_tydal","HIB","B",5,1.522133125,0.121127505443832
"336","Hedmark","halvard_pramhus","HPB","B",5,0.872265,0.069412643218026
