"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"250","Trøndelag","hi_tydal","HIUB","UB",4,2.3777103,0.189212173742757
"251","Hedmark","halvard_pramhus","HPUB","UB",4,0.850978433333333,0.0677187120647985
"252","Trøndelag","selbu_kl","KLUB","UB",4,0.3312516,0.0263601647735496
"253","Trøndelag","singsaas","LAUB","UB",4,0.1172074,0.00932706853847451
"254","Trøndelag","malvik","MAUB","UB",4,1.249266075,0.0994134355366302
"255","Hedmark","stig_dahlen","SDUB","UB",4,11.664081625,0.928198123623049
"256","Trøndelag","sl_tydal","SEUB","UB",4,2.59445266666667,0.206459983258975
"257","Trøndelag","selbu_sl","SLUB","UB",4,1.2132811,0.0965498422124861
"258","Hedmark","stangeskovene_aurskog","SSAUB","UB",4,1.2609024,0.100339424858217
"259","Hedmark","stangeskovene_eidskog","SSBUB","UB",4,0.778255375,0.0619315949595433
"260","Hedmark","eidskog","STSKNUB","UB",4,0.1172074,0.00932706853847451
"261","Hedmark","truls_holm","THUB","UB",4,2.998329975,0.238599518270924
"262","Trøndelag","steinkjer_1bbb","1BBB","B",5,1.39978721,0.111391526874156
"263","Telemark","nome_cappelen1","1CAB","B",5,0.312641066666667,0.0248791855867614
"264","Telemark","drangedal1","1DRB","B",5,1.06583665,0.0848165856880032
"265","Telemark","fritsoe1","1FRB","B",5,0.07168198,0.00570427072380719
"266","Telemark","furesdal","1FYB","B",5,0.675175,0.0537287193510352
"267","Trøndelag","namdalseid_1kub","1KB","B",5,1.39794542,0.111244961882838
"268","Telemark","kviteseid1","1KVB","B",5,2.49390394,0.198458569823677
"269","Trøndelag","nsb_verdal","1NSB","B",5,1.42185646,0.113147741988072
"270","Trøndelag","sub_namdalseid","1SB","B",5,0.72037219,0.057325397452217
"271","Trøndelag","verdal_1vb","1VBB","B",5,0.30063676,0.0239239132145659
"272","Trøndelag","steinkjer_2bbb","2BBB","B",5,0.93303216,0.0742483401638541
"273","Telemark","nome_cappelen2","2CAB","B",5,1.295385,0.103083462978547
"274","Telemark","fritsoe2","2FRB","B",5,0.50765759,0.0403981074233094
"275","Telemark","kviteseid2","2KVB","B",5,1.78320507,0.141902950718515
"276","Trøndelag","verdal_2vb","2VBB","B",5,6.32735562666667,0.503514962342159
"277","Telemark","drangedal3","3DRB","B",5,0.35295,0.0280868685821422
"278","Telemark","kviteseid3","3KVB","B",5,1.11374621,0.0886291073356821
"279","Telemark","notodden3","3NOB","B",5,0.18485448,0.014710252122341
